"ANOENC"	"NUMERO"	"CLAVE"	"CLATEO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCUP"	"NUMNOCUP"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"UNIONSP"	"ESTADOCIVILSP"	"NORDENCOSP"	"NORDENP1SP"	"NORDENP2SP"	"PAISPADRESP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"JORNADASP"	"OCUSP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"VALOREST"	"CAPITPDTE"	"CAPITMENS"	"INTERESMENS"	"DISPOSIOV"	"NUMOVD"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"GASTOTGR01"	"GASTOTGR02"	"GASTOTGR03"	"GASTOTGR04"	"GASTOTGR05"	"GASTOTGR06"	"GASTOTGR07"	"GASTOTGR08"	"GASTOTGR09"	"GASTOTGR10"	"GASTOTGR11"	"GASTOTGR12"	"GASTOTGR13"	"CAPROP"	"CAJENA"	"PENSIOJUB"	"PENSIOINCAP"	"PENSIOTR"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"
2024	00001	2	2	17	2	6	5	3	180.706371	3	3	0	0	0	3	0	0	3	0	3	0	0	0	0	1	2	0	1	2	1	2	0	3	0	0	2.4	2	2	2	11						04	04				01	83	1	1	1		1		2	02	99	99	1	1	3	2	3	2		2	1	-9	02	1	9	5	C	2	1	6	1	1	08	5	1	2	2	2	5	1	85	1	4	1	4	90000				6		3498371.22	14.14	2667445.84	0	0	0	830925.39	834081.59	109858.97	128401.88	1054357.95	17511.58	554712.49	129308.59	51830.72	26510.02	0	543452.38	0	48345.06	6	1	1	6	6	6	6	6	6	3	3		05	3
2024	00002	1	1	10	5	6	3	2	828.04735	3	3	0	0	0	2	1	1	2	1	2	1	0	0	0	2	0	0	2	1	2	1	0	3	1	1	2.2	1.8	1	1	07						04	03				01	39	1	1	1		1		2	02	99	99	1	1	6	4	1	1	1	1	1	-9	05	1	2	2	J	3	1	6	1	1	02	2	1	4	2	2	5	6	90	1	1	6		75000				6		18601899.58	8.06	15244596.89	0	0	0	3357302.69	665568.02	0	632683.38	5204219.08	2550261.79	2567758.41	2043349.84	522738.01	2679890.88	314657.99	213222.19	878061.41	329488.57	6	1	6	6	6	6	6	6	6	2	2		07	2
2024	00003	1	2	10	5	6	4	2	681.674699	4	4	0	0	0	4	0	1	3	1	3	0	1	1	0	2	0	0	2	2	2	2	1	3	2	2	3.1	2.5	3	3	11						05	04				01	50	1	1	1		1		2	02	99	99	1	1	3	2	1	1	1	1	1	-9	07	1	3	2	C	2	1	6	1	1	02	2	1	4	2	2	5	6	110	1	1	6		70000				1	1	32325460.67	4.57	24449787.46	0	0	0	7875673.22	4684949.13	19533.52	3714810.87	9363980.41	1612678.6	89008.75	2901600.91	695906.86	1877013.7	674857.95	2026792.76	1844384.51	2819942.72	6	1	6	6	6	6	6	6	6	2	2		07	2
2024	00004	2	2	10	5	6	3	2	518.855368	4	4	0	0	0	2	2	2	2	2	2	1	1	0	0	2	0	0	2	2	2	2	0	4	2	2	2.7	2.1	1	1	08						05	03				01	45	6	1	1		1		2	02	99	99	1	1	7	4	1	1	2	1	1	-9	04	1	2	2	C	2	1	6	1	1	02	2	2	4	2	2	5	1	100	1	1	1	1	150000	71200	359.77	239.6	6		17427420.1	0	14986216.24	0	0	0	2441203.86	2602527.18	0	2803800.15	3501837.63	1086119	511331.97	1685707.28	403607.21	611125.15	1365108.47	2367333.47	488922.6	0	6	1	6	6	6	6	6	6	6	2	2		07	2
2024	00005	1	1	05	7	1	1	1	1047.630376	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	01						02	01				01	85	6	1	1		1		3	99	99	99	1	1	2	1	6	2		2	1	1166	-9	1	9	5	C	2	1	6	1	2	10	6	1	3	2	2	4	6	55	1	1	6		75000				6		12908960.28	0	6907723.79	0	0	0	6001236.5	4293493.24	0	0	7076105.26	87658.09	0	0	226288.16	116877.45	0	0	746087.43	362450.65	6	6	6	6	1	6	6	6	6	5	3	1166	03	1
2024	00006	1	1	01	6	1	1	1	4435.961884	2	2	0	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	06						03	02				01	26	1	1	1		1		1	02	99	99	1	1	7	4	1	1	1	1	1	2750	-9	1	2	2	G	3	1	6	1	1	02	2	3	4	2	2	4	6	65	1	1	6						6		108807686.07	10.29	101433794.78	0	0	7373891.29	0	9699767.4	360457.42	9622288.22	39923656.96	2352400.01	1181294.69	1061149.73	1479888.93	18400966.53	0	21367545.33	0	3358270.86	6	1	6	6	6	6	6	6	6	2	2	4850	07	2
2024	00007	1	1	12	1	6	5	3	603.828793	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	06						03	02				02	56	1	1	1		1	1	2	01	99	99	1	1	3	2	1	1	1	1	1	7500	-9	1	6	4	A	1	3				06	3	1	1	4	1	4	6	120	1	1	1	1	400000				6		28151986.11	0.66	23422462.94	1294360.8	0	0	3435162.37	1776946.76	0	646499.36	4485824.47	0	184790.21	18718692.57	543445.91	0	0	181148.64	1596523.33	18114.86	1	6	6	6	6	6	6	6	6	1	1	15000	10	2
2024	00008	1	1	06	1	6	5	3	228.324516	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	1	1	1	1	0	2	0	0	1.7	1.5	1	1	06						03	02				02	60	6	1	1		1	1	2	01	99	99	1	1	7	4	1	1	1	1	1	-9	03	1	2	2	P	3	2				05	3	1	1	4	1	6	6	200	1	4	1	4	-9				6		7120989.75	0	4787962.84	44577.25	0	0	2288449.66	876898.35	65592.24	69448.71	2731399.22	88894.34	41098.41	2172431.64	246590.48	0	0	650543.24	178093.12	0	1	6	6	6	6	6	6	6	6	1	1		05	2
2024	00009	2	2	11	4	1	1	1	531.483949	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	02						01	02				01	45	1	1	1		1		-9	99	99	99	1	1	4	3	1	1	1	1	1	2417	-9	1	5	3	O	3	1	1	1	1	03	1	2	4	2	2	4	1	62	1	2	1	2	180000	80000	305	275	6		11119387.85	0.67	7612332.03	0	0	0	3507055.82	1943666.54	0	96995.82	4625618.42	252383.42	296471.41	327855.53	842402.06	159445.18	0	2201624.89	308260.69	64663.88	6	1	6	6	6	6	6	6	6	2	2	2417	05	1
2024	00010	1	2	05	7	6	5	2	581.889141	3	3	0	0	0	2	1	1	2	1	2	0	1	0	0	2	0	0	2	1	1	2	0	3	1	1	2.2	1.8	1	1	07						04	03				01	49	6	1	1		1		2	02	99	99	1	1	5	4	1	1	1	1	1	1100	-9	1	9	5	T	3	1	6	1	1	01	1	1	3	2	2	5	1	75	1	1	6		-9				6		8726442.85	0	5662102.92	0	0	0	3064339.93	1571981.33	973115.84	283186.05	3888269.89	206632.94	0	649176.68	209480.09	279306.79	0	0	353788.6	311504.65	6	1	6	6	6	1	6	6	6	2	2	1580	04	2
