Comunidades y Ciudades Autónomas	Grupos ECOICOP ver.2	Tipo de dato	Periodo	Total
Nacional	Índice general	Media anual	2025	100
Nacional	Índice general	Media anual	2024	97,397
Nacional	Índice general	Media anual	2023	94,768
Nacional	Índice general	Media anual	2022	91,534
Nacional	Índice general	Media anual	2021	84,448
Nacional	Índice general	Media anual	2020	81,915
Nacional	Índice general	Media anual	2019	82,18
Nacional	Índice general	Media anual	2018	81,609
Nacional	Índice general	Media anual	2017	80,265
Nacional	Índice general	Media anual	2016	78,725
Nacional	Índice general	Media anual	2015	78,885
Nacional	Índice general	Media anual	2014	79,281
Nacional	Índice general	Media anual	2013	79,401
Nacional	Índice general	Media anual	2012	78,298
Nacional	Índice general	Media anual	2011	76,429
Nacional	Índice general	Media anual	2010	74,062
Nacional	Índice general	Media anual	2009	72,752
Nacional	Índice general	Media anual	2008	72,962
Nacional	Índice general	Media anual	2007	70,105
Nacional	Índice general	Media anual	2006	68,204
Nacional	Índice general	Media anual	2005	65,888
Nacional	Índice general	Media anual	2004	63,741
Nacional	Índice general	Media anual	2003	61,861
Nacional	Índice general	Media anual	2002	60,036
Nacional	Índice general	Variación de las medias anuales	2025	2,7
Nacional	Índice general	Variación de las medias anuales	2024	2,8
Nacional	Índice general	Variación de las medias anuales	2023	3,5
Nacional	Índice general	Variación de las medias anuales	2022	8,4
Nacional	Índice general	Variación de las medias anuales	2021	3,1
Nacional	Índice general	Variación de las medias anuales	2020	-0,3
Nacional	Índice general	Variación de las medias anuales	2019	0,7
Nacional	Índice general	Variación de las medias anuales	2018	1,7
Nacional	Índice general	Variación de las medias anuales	2017	2
Nacional	Índice general	Variación de las medias anuales	2016	-0,2
Nacional	Índice general	Variación de las medias anuales	2015	-0,5
Nacional	Índice general	Variación de las medias anuales	2014	-0,2
Nacional	Índice general	Variación de las medias anuales	2013	1,4
Nacional	Índice general	Variación de las medias anuales	2012	2,4
Nacional	Índice general	Variación de las medias anuales	2011	3,2
Nacional	Índice general	Variación de las medias anuales	2010	1,8
Nacional	Índice general	Variación de las medias anuales	2009	-0,3
Nacional	Índice general	Variación de las medias anuales	2008	4,1
Nacional	Índice general	Variación de las medias anuales	2007	2,8
Nacional	Índice general	Variación de las medias anuales	2006	3,5
Nacional	Índice general	Variación de las medias anuales	2005	3,4
Nacional	Índice general	Variación de las medias anuales	2004	3
Nacional	Índice general	Variación de las medias anuales	2003	3
Nacional	Índice general	Variación de las medias anuales	2002	""
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2025	100
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2024	97,616
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2023	94,254
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2022	84,411
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2021	75,61
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2020	74,239
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2019	72,531
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2018	71,788
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2017	70,625
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2016	69,767
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2015	68,803
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2014	68,005
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2013	68,243
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2012	66,393
Nacional	01 Alimentos y bebidas no alcohólicas	Media anual	2011	64,883
